"sn","pdfside","adresse","BBRm2","opfoert","Type","Ydervaeg","Tag","bem","beboere","pejs","bortrejst","elgulvvarme","solvarme","supplVarme","natsaenkning","pdfsidenr","houseid"
4218597,15,"Skovbrynet 23",151,1970,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Tegl","",2,0,0,0,0,0,0,15,1
4218598,36,"Frejasvej 10",163,1969,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Tegl","",2,0,0,0,0,0,0,36,2
4711176,40,"Laurids Skaus vej 2",140,1963,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Fibercement, herunder asbest (bølge- eller skifereternit)","",2,0,0,0,0,0,0,40,3
4724106,21,"Violvej 1",86,1952,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Tagpap (med taghældning)","",2,0,0,0,0,0,0,21,4
4836681,6,"Henrik Ibsens Vej 5",111,1966,"Fritliggende enfamilieshus (parcelhus)","Letbeton (lette bloksten, gasbeton)","Metalplader (bølgeblik, aluminium og lignende)","",1,0,0,0,0,0,0,6,5
4964553,8,"Dybbøløstenvej 4",119,1963,"","","","",2,0,0,0,0,0,0,8,6
5036505,10,"Møllegade 47",119,1947,"","","","",3,0,0,0,0,0,0,10,7
5107720,2,"Agtoftsvej 39",160,1965,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Fibercement, herunder asbest (bølge- eller skifereternit)","olietank?",4,0,0,0,0,0,0,2,8
5159799,17,"Peter Graus Vej 5",173,1965,"Fritliggende enfamilieshus (parcelhus)","Mursten (tegl, kalksandsten, cementsten)","Fibercement, herunder asbest (bølge- eller skifereternit)","",1,0,0,0,0,0,0,17,9
5164534,41,"Brunhoved 2",135,1996,"","","","",2,0,0,0,0,0,1,41,10
5183232,33,"Aprilvej 4",122,1966,"","","","",2,0,0,0,0,0,0,33,11
5193768,16,"Brombærhegnet 18",136,1975,"","","","",2,0,0,0,0,0,0,16,12
5194732,NA,"Parkgade 44",86,1937,"","","","",2,0,1,0,0,0,1,29,13
5194965,27,"Gammel Aabenraavej 29",123,1965,"","","","",2,0,0,0,0,0,1,27,14
5197381,26,"Midtkobbel 23",127,1953,"","","","",2,0,0,0,0,0,0,26,15
5223036,7,"Gyvelvej 3",137,1967,"","","","",5,0,0,0,0,0,1,7,16
